# drug_mechanism_group_members.csv
# Source of truth: docs/duplicate-medication-assessment-guide.md §3.4
# ATC codes verified against WHO ATC/DDD Index.
# Fields: group_key,atc_code,active_ingredient
# Lines starting with # are ignored by loader.
group_key,atc_code,active_ingredient
qtc_prolonging,C01BD07,Dronedarone
qtc_prolonging,N05AH04,Quetiapine
qtc_prolonging,N05AX08,Risperidone
qtc_prolonging,N05AH03,Olanzapine
qtc_prolonging,N05AX12,Aripiprazole
qtc_prolonging,N05AX13,Paliperidone
qtc_prolonging,N05AA01,Chlorpromazine
# -- anticholinergic_burden (§3.4 抗膽鹼負荷) --
anticholinergic_burden,N06AA09,Amitriptyline
anticholinergic_burden,N06AA10,Nortriptyline
anticholinergic_burden,N06AA12,Doxepin
anticholinergic_burden,N06AA04,Clomipramine
anticholinergic_burden,R06AA02,Diphenhydramine
anticholinergic_burden,R06AB04,Chlorpheniramine
anticholinergic_burden,R06AX02,Cyproheptadine
anticholinergic_burden,G04BD04,Oxybutynin
anticholinergic_burden,G04BD08,Solifenacin
anticholinergic_burden,G04BD07,Tolterodine
anticholinergic_burden,N04AC01,Benztropine
anticholinergic_burden,N04AA02,Biperiden
anticholinergic_burden,N04AA01,Trihexyphenidyl
anticholinergic_burden,N05AH04,Quetiapine
anticholinergic_burden,N05AH03,Olanzapine
anticholinergic_burden,N05BB01,Hydroxyzine
anticholinergic_burden,A03BA01,Atropine
anticholinergic_burden,A03BB01,Hyoscine butylbromide
# -- cns_depressant (§3.4 CNS 抑制疊加) --
# BZD (N05BA* anxiolytics, N05CD* hypnotics)
cns_depressant,N05BA01,Diazepam
cns_depressant,N05BA04,Oxazepam
cns_depressant,N05BA06,Lorazepam
cns_depressant,N05BA08,Bromazepam
cns_depressant,N05BA12,Alprazolam
cns_depressant,N05CD02,Nitrazepam
cns_depressant,N05CD07,Temazepam
cns_depressant,N05CD08,Midazolam
cns_depressant,N05BA09,Clobazam
cns_depressant,N03AE01,Clonazepam
# Opioid (N02A*)
cns_depressant,N02AA01,Morphine
cns_depressant,N02AA05,Oxycodone
cns_depressant,N02AB03,Fentanyl
cns_depressant,N02AB02,Pethidine
cns_depressant,N02AE01,Buprenorphine
cns_depressant,N02AJ06,Codeine combinations
cns_depressant,N02AX02,Tramadol
cns_depressant,N02AX06,Tapentadol
cns_depressant,N07BC02,Methadone
cns_depressant,N02AA03,Hydromorphone
# Z-drugs (N05CF)
cns_depressant,N05CF02,Zolpidem
cns_depressant,N05CF01,Zopiclone
cns_depressant,N05CF02,Eszopiclone
# Gabapentinoids (N03AX)
cns_depressant,N03AX16,Pregabalin
cns_depressant,N03AX12,Gabapentin
# First-generation H1 antihistamines
cns_depressant,R06AA02,Diphenhydramine
cns_depressant,R06AB04,Chlorpheniramine
cns_depressant,N05BB01,Hydroxyzine
# Phenothiazine neuroleptics with strong sedation
cns_depressant,N05AA01,Chlorpromazine
# -- d2_antagonist_antiemetic (§3.1 雙 D2 止吐 / §3.4) --
d2_antagonist_antiemetic,A03FA01,Metoclopramide
d2_antagonist_antiemetic,N05AB04,Prochlorperazine
d2_antagonist_antiemetic,N05AD01,Haloperidol
d2_antagonist_antiemetic,A03FA03,Domperidone
d2_antagonist_antiemetic,N05AB03,Perphenazine
d2_antagonist_antiemetic,N05AB02,Fluphenazine
# -- promotility (§3.4 雙 promotility) --
promotility,A03FA01,Metoclopramide
promotility,J01FA01,Erythromycin
promotility,N07AA01,Neostigmine
promotility,A03FA03,Domperidone
promotility,A06AH03,Prucalopride
# TODO: 臨床藥師確認是否納入 Mosapride（ATC A03FA09）— 地區供應差異大
